"anio","unidad_legal_tipo","exportaciones_netas"
2012,"Persona Jurídica",6119354589
2012,"Persona Natural",20031993
2013,"Persona Jurídica",5787526700
2013,"Persona Natural",21570000
2014,"Persona Jurídica",5451806025
2014,"Persona Natural",25446485
2015,"Persona Jurídica",5025643871
2015,"Persona Natural",27388611
2016,"Persona Jurídica",5318912478
2016,"Persona Natural",10575121
2017,"Persona Jurídica",5767790901
2017,"Persona Natural",11145217
2018,"Persona Jurídica",6146009710
2018,"Persona Natural",17660513
2019,"Persona Jurídica",6183593719
2019,"Persona Natural",23251943
2020,"Persona Jurídica",5665668000
2020,"Persona Natural",16613085
