"anio","unidad_legal_tipo","plazas_totales"
2012,"Persona Jurídica",846135
2012,"Persona Natural",236942
2013,"Persona Jurídica",880788
2013,"Persona Natural",242089
2014,"Persona Jurídica",887536
2014,"Persona Natural",239738
2015,"Persona Jurídica",876143
2015,"Persona Natural",226482
2016,"Persona Jurídica",818816
2016,"Persona Natural",207248
2017,"Persona Jurídica",801411
2017,"Persona Natural",194548
2018,"Persona Jurídica",806889
2018,"Persona Natural",186622
2019,"Persona Jurídica",801062
2019,"Persona Natural",178989
2020,"Persona Jurídica",756423
2020,"Persona Natural",157594
